Time,bitbay,bitfinex,bitstamp,cex.io,coinbase,hitbtc,itbit,kraken,okcoin,others
2017-08-03 07:00:00 UTC,,2718.7986809563,2718.9007165109,2759.4056804878,2716.67144424131,2718.52065359477,2718.78238095238,2719.06777894737,2817.11632696391,2694.0696837420273
2017-08-03 08:00:00 UTC,2711.05,2720.0258121159,2718.94343749999,2758.20019875,2717.98531502422,2712.57792156863,2716.1225,2717.14747747747,2807.79790560473,2693.7274505878822
2017-08-03 09:00:00 UTC,2750.525,2741.44437086092,2739.26834701056,2774.48762207207,2735.31917025863,2736.33,2732.24669724771,2736.34096797437,2822.35805405406,2710.401761831325
2017-08-03 10:00:00 UTC,2780.7375,2744.37930194805,2741.89750528541,2775.08834666667,2740.83607633588,2746.42275362319,2742.59724137931,2739.90024658972,2842.66811594203,2718.58206254909
2017-08-03 11:00:00 UTC,,2739.84795366796,2739.17456204379,2782.88288484848,2735.67687038987,2741.18307291667,2742.5245,2739.85591816694,2850.25341860466,2718.18804835849
2017-08-03 12:00:00 UTC,2795.85571428571,2734.08244897959,2732.67171370967,2775.85542738853,2728.35235370611,2733.3844140625,2738.09868421053,2734.26911243386,2838.02107913669,2711.69069403812
2017-08-03 13:00:00 UTC,2798.54818181818,2739.88472324722,2738.84346613546,2769.73895289256,2735.10292965271,2741.03863636364,2741.65222222222,2740.38710608424,2839.22679180887,2714.21516684866
2017-08-03 14:00:00 UTC,2785.5,2735.24626675175,2735.6056232687,2766.9387377551,2732.67843283582,2738.57985365854,2738.54,2737.85906832298,2827.9515060241,2713.899752234005
2017-08-03 15:00:00 UTC,2812.0,2754.49697256385,2753.70733520337,2783.97317733333,2747.63386745797,2751.55782456141,2751.86216216216,2750.07380053192,2850.7460412758,2720.777183539855
2017-08-03 16:00:00 UTC,2805.995,2765.08818791944,2763.88089080459,2793.95346484849,2759.63903137789,2767.99456057007,2764.44741935484,2767.86658870056,2856.7612755102,2734.5357702067677
2017-08-03 17:00:00 UTC,,2762.14098649441,2756.39702912621,2788.00747319149,2757.2662,2764.13702702703,2761.08115384615,2765.23845889947,2852.99342281879,2736.05580274154
2017-08-03 18:00:00 UTC,2733.0,2762.64378151261,2760.24354564755,2780.45041190476,2759.75998447204,2754.34569587629,2758.43095238095,2763.62413661972,2858.09113772455,2734.8281267142
2017-08-03 19:00:00 UTC,,2792.17292950034,2785.84736318408,2795.77538505747,2787.09862097442,2782.79493617021,2788.12797014925,2787.82117153285,2873.36892537313,2750.2345268088648
2017-08-03 20:00:00 UTC,2812.0,2799.98426183843,2792.19128497409,2796.52304296296,2788.7959512195,2792.66423728814,2792.50297029703,2795.67856346749,2875.3712371134,2760.1182419566776
2017-08-03 21:00:00 UTC,2776.005,2787.09697567389,2783.60148314607,2804.80441065574,2781.75588235295,2796.20780821918,2784.77206896552,2791.13652040817,2877.70219512196,2753.941556337345
2017-08-03 22:00:00 UTC,2782.85857142857,2793.08476489028,2791.27857908847,2801.27527522124,2785.77827022377,2796.50764705882,2790.55421875,2793.70585824345,2891.80262195122,2763.343503507835
2017-08-03 23:00:00 UTC,,2790.96357039187,2791.86750421585,2803.51060285714,2788.05143646409,2792.4209009009,2791.358,2796.27474960877,2891.298515625,2756.2848069607066
2017-08-04 00:00:00 UTC,,2796.96614349775,2796.2539100346,2809.4471,2789.30592198583,2794.51874476987,2794.0319047619,2798.11621923937,2896.20639676114,2769.3951673503275
2017-08-04 01:00:00 UTC,2810.0,2784.25019083969,2782.63614678899,2803.87619878049,2781.44812548412,2785.97920289855,2784.64631578947,2786.23959780907,2881.55302904564,2766.2403227325376
2017-08-04 02:00:00 UTC,,2791.43699604744,2789.76197183098,2808.50107790698,2782.69263610315,2788.13607361963,2786.71,2792.78534680851,2892.2678680203,2756.932081018926
2017-08-04 03:00:00 UTC,,2788.18730670104,2785.79292553192,2811.85771666667,2783.11805555555,2785.47316831683,2781.71692307692,2792.55426213592,2900.70721115538,2762.0680606329797
2017-08-04 04:00:00 UTC,2810.0,2779.95589248795,2779.70191304348,2808.4609362069,2779.24423655913,2780.96042735042,2782.03285714286,2788.92158970358,2897.72053254438,2761.7479441665673
2017-08-04 05:00:00 UTC,2810.0,2773.37256501785,2776.12061728395,2805.69728306452,2770.35099180329,2776.97024691358,2780.30971428571,2778.93839151713,2899.08938375351,2758.59904145276
2017-08-04 06:00:00 UTC,2808.0,2785.43669354839,2784.3050862069,2802.78102142857,2782.81026315789,2788.29019230769,2786.70875,2787.51710810811,2897.25983050848,2761.8860067728233
2017-08-04 07:00:00 UTC,2807.5,2796.04237187128,2794.60827050998,2804.84447093023,2788.23385945946,2794.83244343891,2788.715,2796.70586724386,2911.04362745098,2765.54301963022
2017-08-04 08:00:00 UTC,2834.993,2825.82551669316,2828.72156862744,2832.53300228013,2820.44414151927,2815.59778481013,2826.4004,2827.9430498615,2927.17338495575,2791.562863814908
2017-08-04 09:00:00 UTC,2879.4,2841.53029861614,2843.5999787234,2844.04662453988,2841.70362678706,2840.90094512195,2844.00045454545,2844.40336087485,2937.98622073579,2813.4053777127847
2017-08-04 10:00:00 UTC,,2850.01585327947,2851.92829411764,2849.4236026936,2840.75111182108,2847.37766949153,2848.56032786885,2853.80390368273,2934.61019693655,2820.843092309865
2017-08-04 11:00:00 UTC,2898.66666666667,2860.57357512955,2862.9783563748,2865.97566823266,2858.35697632056,2858.4761235955,2861.95911392405,2867.59993915343,2949.4430876494,2830.33289126824
2017-08-04 12:00:00 UTC,2895.66666666667,2842.39149029986,2844.56041904762,2859.53340146342,2844.15041728763,2845.34308219178,2843.72263157895,2854.84678909464,2938.92540983607,2820.433915614185
2017-08-04 13:00:00 UTC,2792.64272727273,2844.55627990432,2848.10782157676,2853.2050209607,2847.26332853026,2843.25135483871,2848.84467532468,2855.33942404227,2926.23394230769,2816.00012012097
2017-08-04 14:00:00 UTC,,2852.16107843136,2850.94944915254,2857.09684981413,2851.8359025033,2856.71879598662,2850.82396226415,2857.62062176871,2933.08921052632,2820.9078354615303
2017-08-04 15:00:00 UTC,2841.30666666667,2866.43617424242,2869.33572327044,2875.82263636364,2868.81405049397,2864.21554216867,2873.69953020134,2873.2773040404,2952.85049295775,2830.183472737998
2017-08-04 16:00:00 UTC,2861.2325,2862.15704874834,2867.55042416452,2878.39701761905,2864.55752763819,2858.56655172414,2869.52011235955,2871.19510458453,2945.29007092199,2831.7338822075503
2017-08-04 17:00:00 UTC,2861.82,2844.99882283698,2848.62779874214,2873.49021472868,2848.71924882629,2844.69967948718,2846.1338961039,2858.50963913044,2937.46060606061,2747.970944363452
2017-08-04 18:00:00 UTC,,2844.53251599146,2846.07420621931,2875.744675,2843.80626262626,2850.68838028169,2843.37552238806,2863.19998963134,2948.0065,2803.91096433022
2017-08-04 19:00:00 UTC,2872.98,2828.75113714679,2831.35544230769,2872.46433837209,2831.33525974025,2825.85438461538,2832.24288135593,2847.54860756075,2943.31037735849,2815.1830303321303
2017-08-04 20:00:00 UTC,2807.92,2831.46026119403,2833.48015665796,2872.56783181818,2831.09636363636,2824.06092715232,2830.55924137931,2851.90398463015,2945.6480952381,2813.3872761873527
2017-08-04 21:00:00 UTC,,2829.36148238153,2833.56031716418,2871.66857831325,2832.59673242911,2834.42115879828,2831.40223776224,2854.42371601209,2954.93814814815,2817.666867890505
2017-08-04 22:00:00 UTC,2878.0,2844.81282392027,2845.39983651227,2878.95789315069,2849.57809847199,2848.76594059406,2850.2975,2870.98906900328,2968.6231185567,2826.13524229231
2017-08-04 23:00:00 UTC,2841.5,2858.93290734823,2856.25384297521,2888.64944224599,2859.56049958369,2863.30328651685,2858.11208333333,2876.83435456053,2977.76643229167,2830.75899037657
2017-08-05 00:00:00 UTC,2878.0,2862.67431237722,2859.04992974239,2896.07029944134,2862.33444584382,2861.69473469388,2855.42381818182,2879.43009475807,2969.39589812333,2831.69141586745
2017-08-05 01:00:00 UTC,,2875.1500635324,2873.68690423162,2897.85951545455,2873.12206554878,2866.7064,2867.40246376812,2886.57837316177,2984.57512738853,2837.6545682446376
2017-08-05 02:00:00 UTC,,2929.59157021602,2916.54862994351,2931.84041900585,2918.83760372565,2912.67803625378,2903.13933333333,2926.1867394718,3006.47924214418,2866.7587371924624
2017-08-05 03:00:00 UTC,2880.73875,3095.79100081536,3073.71154904089,3077.25433135518,3085.0080292381,3082.87483653847,3064.17234567901,3086.00216395046,3144.96216489063,3019.4378044753626
2017-08-05 04:00:00 UTC,2916.54545454545,3152.50727986712,3145.52012762764,3121.64356756152,3116.00705537806,3129.7942039801,3133.75226890756,3157.32712811227,3242.77671497583,3089.046990862773
2017-08-05 05:00:00 UTC,3019.56571428571,3139.44564078132,3122.62706666667,3114.31830510204,3112.14828196058,3138.71911838791,3118.40513513514,3136.27221611983,3250.70536502545,3079.5625868492853
2017-08-05 06:00:00 UTC,3076.412,3147.1582382311,3134.75955938697,3126.84437091837,3116.13300798039,3139.01027272727,3128.00020408163,3136.45806822431,3251.61466876972,3064.66919112389
2017-08-05 07:00:00 UTC,3124.495,3140.86932352943,3137.44753571428,3126.37079823183,3109.11363155363,3143.16531914894,3124.15334841629,3153.19895599559,3260.99179487179,3088.668608245165
2017-08-05 08:00:00 UTC,3148.165,3172.46776783663,3163.75938972163,3132.18426289978,3131.09044705883,3169.63697211155,3153.63287179487,3166.46785164433,3266.80614634146,3106.0285954249503
2017-08-05 09:00:00 UTC,3134.00857142857,3208.6359989008,3202.38908625107,3173.38834556213,3176.58737517834,3201.32013114754,3189.74620155039,3206.70039693357,3302.93162962963,3150.6832737074074
2017-08-05 10:00:00 UTC,3091.555,3190.0835974304,3185.2987804878,3163.90569481707,3164.77167231638,3196.0709009009,3174.33743055556,3189.50726021179,3260.89992277992,3142.7631238968324
2017-08-05 11:00:00 UTC,3194.98,3152.94336835192,3150.55375558868,3145.11484210526,3137.92569209995,3164.29442748092,3149.75852112676,3160.69258185402,3241.54635738832,3124.3658106714274
2017-08-05 12:00:00 UTC,3115.0,3161.92582887701,3157.1183744856,3152.06896460808,3137.46024911029,3160.66977859779,3142.67482758621,3157.20858926342,3246.05832258064,3113.0260230400677
2017-08-05 13:00:00 UTC,3118.44333333333,3175.99717480871,3164.41833675565,3155.1134770909,3158.20936218679,3174.15724867725,3165.01426229508,3172.39554254007,3264.12663043478,3113.7238471042924
2017-08-05 14:00:00 UTC,3155.994,3204.84080206035,3194.34580924857,3178.659921,3192.25368421052,3203.04265175719,3190.95152173913,3197.70871279917,3290.79852777777,3151.473915801365
2017-08-05 15:00:00 UTC,3177.2475,3197.2571821684,3198.88712303422,3189.10547425373,3193.95574909282,3198.01942748092,3193.23874125874,3200.18261359224,3294.88757793766,3155.798752691325
